N,alpha_1,alpha_2,alpha_3,alpha_5,alpha_6,alpha_7,r,sigma_r,sigma_t,x0_1,x0_2,x0_3,x0_5,x0_6,x0_7,y0_1,y0_2,y0_3,y0_5,y0_6,y0_7
359.09988,3.7439318,3.743962,3.7526474,3.7372394,3.802526,3.7259798,76.85211,0.036810122,0.53936565,79.33273,79.893166,79.772964,81.837524,77.23988,83.3508,135.71234,135.1911,135.22159,135.68964,133.79375,135.95859
357.79633,3.7411604,3.7372596,3.7489288,3.727225,3.7789073,3.706101,76.86666,0.036932245,0.45617363,79.44092,79.88182,79.881454,81.83554,79.434875,83.736176,135.61679,135.1801,135.22478,135.71451,134.64362,136.13202
358.39114,3.741187,3.736169,3.7489853,3.7237818,3.7678354,3.7156346,76.845436,0.04285557,0.47436208,79.43996,80.25025,79.870445,81.77731,79.6,83.3747,135.58649,134.96988,135.2033,135.72145,134.6603,135.95712
357.2214,3.7381923,3.7521188,3.749367,3.7161584,3.7769487,3.7087543,76.85395,0.03951606,0.5060846,79.42477,79.38703,79.80096,82.7093,78.558304,83.70964,135.62032,135.45193,135.2191,135.93198,134.30052,136.08586
356.37558,3.7411788,3.7397661,3.744122,3.763169,3.6715834,3.7024987,76.84767,0.03830917,0.43473563,79.30599,80.01335,79.84337,78.925865,85.99513,83.627106,135.70872,135.10223,135.20956,134.88158,136.66653,136.0358
358.30875,3.7415915,3.748469,3.749011,3.7238474,3.832343,3.7143357,76.841156,0.039067343,0.48364905,79.36444,79.31675,79.84476,81.978096,75.57013,83.36034,135.63913,135.48135,135.20366,135.72926,133.0556,135.93213
359.64377,3.7426379,3.7435246,3.75175,3.7337575,3.6575117,3.7259538,76.880745,0.04133705,0.5070327,79.364265,79.94671,79.86065,81.801445,87.62298,82.857025,135.72604,135.19681,135.24265,135.70499,137.17206,135.77481
357.137,3.741868,3.7397377,3.7447624,3.7145412,3.634197,3.7166479,76.91029,0.045209784,0.49827242,79.43241,79.894005,79.90511,82.11118,89.41467,82.79237,135.67978,135.26358,135.2732,135.85986,137.58109,135.80353
360.05984,3.741389,3.750928,3.7537804,3.724857,3.827014,3.7163815,76.83881,0.039566807,0.52646214,79.27246,79.52456,79.85509,82.61635,76.51903,83.50068,135.72734,135.35762,135.20154,135.89832,133.45583,136.00674
357.12527,3.7399735,3.7466226,3.746194,3.72802,3.789229,3.7176583,76.86057,0.035812896,0.5124853,79.37987,79.45471,79.88746,81.66763,78.18726,82.951805,135.67923,135.42311,135.20016,135.68591,134.16081,135.80379
357.79,3.7440684,3.7464464,3.7500226,3.753398,3.7276204,3.7076957,76.88142,0.037351653,0.5860611,79.30172,79.973816,79.82514,80.22404,83.13602,83.78194,135.7769,135.13324,135.24619,135.28491,135.916,136.16
356.8733,3.7405593,3.747604,3.7471764,3.6955225,3.6720119,3.711742,76.903366,0.047512613,0.5204083,79.410034,79.27327,79.73365,83.97653,85.70357,83.2131,135.67888,135.58046,135.27165,136.3336,136.6139,135.97827
360.02347,3.742737,3.7489634,3.7546625,3.7134564,3.7691963,3.733313,76.89754,0.03970521,0.4582317,79.350815,79.64022,79.862686,83.06163,79.71693,82.61383,135.7469,135.35204,135.2581,136.0674,134.72328,135.72769
359.03595,3.740883,3.7504778,3.7525988,3.7321324,3.7163312,3.7167299,76.873764,0.03972669,0.47460553,79.38261,79.56219,79.77542,81.64114,83.60282,83.600105,135.68848,135.37149,135.23541,135.65977,136.03114,136.07797
358.00385,3.7411802,3.7363405,3.7489705,3.7617567,3.7368062,3.7051537,76.87966,0.0441495,0.51453966,79.25303,79.94102,79.88362,79.17903,81.55106,84.453415,135.8116,135.14453,135.23428,134.97693,135.42752,136.37454
359.61926,3.7414455,3.749803,3.7522824,3.7256794,3.7690418,3.7257273,76.91822,0.04315137,0.47439742,79.44774,79.56924,79.76516,82.5572,79.79603,83.085014,135.66339,135.38876,135.28694,135.97305,134.82321,135.92726
357.11157,3.741193,3.749406,3.746,3.721179,3.6345155,3.70564,76.858315,0.043831356,0.48784634,79.3739,79.52375,79.78631,81.58061,89.064224,83.84948,135.66705,135.4219,135.22432,135.61389,137.40247,136.14307
